Source,Target,Weight
C110,C105,1
C110,C107,1
C110,C111,1
C110,C109,1
C110,C108,0.707107
C110,C106,0.707107
C110,C58,0.5
C110,C87,0.408248
C110,C34,0.353553
C110,C27,0.316228
C105,C107,1
C105,C111,1
C105,C109,1
C105,C108,0.707107
C105,C106,0.707107
C105,C58,0.5
C105,C87,0.408248
C105,C34,0.353553
C105,C27,0.316228
C107,C109,1
C107,C111,1
C107,C108,0.707107
C107,C106,0.707107
C107,C58,0.5
C107,C87,0.408248
C107,C34,0.353553
C107,C27,0.316228
C109,C111,1
C109,C108,0.707107
C109,C106,0.707107
C109,C58,0.5
C109,C87,0.408248
C109,C34,0.353553
C109,C27,0.316228
C111,C106,0.707107
C111,C108,0.707107
C111,C58,0.5
C111,C87,0.408248
C111,C34,0.353553
C111,C27,0.316228
C139,C140,1
C139,C138,1
C139,C54,0.5
C139,C25,0.316228
C140,C138,1
C140,C54,0.5
C140,C25,0.316228
C78,C77,1
C78,C80,1
C78,C79,0.707107
C77,C80,1
C77,C79,0.707107
C114,C116,1
C114,C117,0.707107
C114,C133,0.5
C114,C115,0.5
C114,C113,0.408248
C116,C117,0.707107
C116,C133,0.5
C116,C115,0.5
C116,C113,0.408248
C138,C54,0.5
C138,C25,0.316228
C155,C154,1
C155,C124,0.57735
C155,C49,0.447214
C155,C72,0.377964
C155,C144,0.377964
C155,C27,0.316228
C155,C91,0.316228
C154,C124,0.57735
C154,C49,0.447214
C154,C144,0.377964
C154,C72,0.377964
C154,C27,0.316228
C154,C91,0.316228
C80,C79,0.707107
C103,C101,1
C103,C102,0.707107
C103,C147,0.707107
C103,C100,0.5
C101,C147,0.707107
C101,C102,0.707107
C101,C100,0.5
C137,C135,1
C137,C133,0.707107
C137,C134,0.57735
C137,C136,0.57735
C137,C71,0.57735
C137,C92,0.408248
C137,C132,0.353553
C137,C131,0.333333
C135,C133,0.707107
C135,C134,0.57735
C135,C136,0.57735
C135,C71,0.57735
C135,C92,0.408248
C135,C132,0.353553
C135,C131,0.333333
C153,C152,1
C153,C132,0.353553
C153,C12,0.353553
C153,C66,0.353553
C152,C132,0.353553
C152,C66,0.353553
C152,C12,0.353553
C133,C117,0.707107
C133,C115,0.5
C133,C134,0.408248
C133,C136,0.408248
C133,C71,0.408248
C133,C113,0.408248
C117,C115,0.707107
C117,C113,0.57735
C147,C148,0.707107
C147,C100,0.707107
C147,C102,0.5
C147,C146,0.408248
C147,C136,0.408248
C147,C73,0.342997
C147,C70,0.316228
C102,C118,0.353553
C102,C100,0.353553
C102,C37,0.316228
C108,C165,0.707107
C108,C106,0.5
C108,C58,0.353553
C108,C123,0.353553
C106,C58,0.353553
C115,C113,0.408248
C165,C123,0.5
C148,C136,0.57735
C148,C146,0.57735
C148,C100,0.5
C148,C70,0.447214
C148,C132,0.353553
C148,C76,0.301511
C79,C42,0.316228
C134,C136,0.666667
C134,C71,0.333333
C134,C95,0.333333
C136,C132,0.408248
C136,C76,0.348155
C136,C71,0.333333
C136,C146,0.333333
C128,C127,0.57735
C128,C86,0.57735
C128,C112,0.5
C128,C57,0.316228
C128,C27,0.316228
C127,C86,0.333333
C113,C124,0.333333
C151,C99,0.57735
C151,C37,0.447214
C151,C66,0.353553
C71,C68,0.348155
C86,C60,0.333333
C146,C158,0.57735
C120,C161,0.5
C120,C119,0.5
C120,C123,0.5
C120,C46,0.447214
C120,C57,0.316228
C120,C68,0.301511
C161,C159,0.5
C161,C57,0.316228
C161,C25,0.316228
C161,C68,0.301511
C119,C34,0.353553
C119,C57,0.316228
C123,C46,0.447214
C123,C126,0.416025
C123,C68,0.301511
C58,C87,0.408248
C162,C163,0.5
C112,C51,0.353553
C49,C72,0.338062
C142,C145,0.447214
C145,C82,0.316228
C143,C92,0.408248
C74,C73,0.366679
C166,C27,0.365148
C27,C149,0.316228
C41,C129,0.365148
C65,C90,0.353553
C65,C91,0.316228
C15,C26,0.329617
C157,C56,0.316228
C25,C44,0.316228
C149,C83,0.301511
C67,C156,0.316228
C64,C89,0.316228
