Id,degree,weighted degree,EC,CC,BC
C33,10,7.138628,1,0.468085,0.010163
C41,10,7.138628,1,0.468085,0.010163
C38,10,7.138628,1,0.468085,0.010163
C35,10,7.138628,1,0.468085,0.010163
C40,8,5.681648,0.901397,0.44898,0
C36,8,5.681648,0.901397,0.44898,0
C37,8,5.681648,0.901397,0.44898,0
C44,5,3.667032,0.14805,0.385965,0
C46,5,3.667032,0.14805,0.385965,0
C34,8,4.657335,0.901397,0.44898,0
C47,6,3.469506,0.152334,0.392857,0.02439
C58,5,2.590837,0.035936,0.578947,0.030197
C55,4,1.900164,0.032259,0.52381,0.011614
C48,6,3.469506,0.153147,0.4,0.046458
C43,6,3.163381,0.252755,0.511628,0.056911
C57,2,1.017111,0.028174,0.297297,0.02439
C51,1,0.699986,0.002084,1,0
C26,1,0.699986,0.002084,1,0
C60,1,0.699986,0.025258,0.285714,0
C42,11,4.885249,0.980495,0.594595,0.170732
C45,6,2.632858,0.252755,0.511628,0.056911
C14,5,2.199075,0.036836,0.611111,0.036005
C59,1,0.567075,0.010448,0.392857,0
C25,3,1.278061,0.02978,0.5,0
C17,3,1.155462,0.127807,0.407407,0.046458
C16,2,0.776715,0.023101,0.297297,0
C56,4,1.735095,0.468402,0.338462,0
C11,3,1.080402,0.015995,0.458333,0.022067
C15,1,0.412456,0.005644,0.323529,0
C50,1,0.412456,0.009097,0.354839,0
C2,1,0.393861,0.010235,0.37931,0
C1,2,0.727703,0.023101,0.297297,0
C53,1,0.363586,0.002084,1,0
C3,1,0.363586,0.002084,1,0
C29,2,0.725682,0.012765,0.407407,0.011614
C54,1,0.362841,0.004566,0.297297,0
C20,4,1.351346,0.468402,0.338462,0
C30,1,0.317125,0.00637,0.231579,0
C32,1,0.314007,0.005644,0.323529,0
C39,1,0.309999,0.002084,1,0
C5,1,0.309999,0.002084,1,0
C23,1,0.303189,0.002084,1,0
C4,1,0.303189,0.002084,1,0
